date,opponent,picked_first,Voita,Lissy,result,notes
2022-10-19,Mavericks,Lissy,Deandre Ayton,Deandre Ayton,w,
2022-10-21,Trail Blazers,Voita,Devin Booker,Devin Booker,l,
2022-10-23,Clippers,Lissy,Devin Booker,Devin Booker,w,
2022-10-25,Warriors,Voita,Devin Booker,Jock Landale,w,
2022-10-28,Pelicans,Lissy,Mikal Bridges,Mikal Bridges,w,
2022-10-30,Rockets,Voita,Devin Booker,Devin Booker,w,
2022-11-1,Timberwolves,Lissy,Cam Johnson,Cam Johnson,w,
2022-11-4,Trail Blazers,Lissy,Deandre Ayton,Deandre Ayton,l,Voita didnt say
2022-11-5,Trail Blazers,NA,NA,NA,w,No Voita
2022-11-7,76ers,NA,NA,NA,l,forgot?
2022-11-9,Timberwolves,Voita,Mikal Bridges,Mikal Bridges,w,
2022-11-11,Magic,NA,NA,NA,l,Distracted talking about batman
2022-11-14,Heat,Lissy,Duane Washington Jr.,Duane Washington Jr.,l,
2022-11-16,Warriors,Voita,Cam Payne,Cam Payne,w,
2022-11-18,Jazz,Voita,Devin Booker,Devin Booker,l,
2022-11-20,Knicks,Lissy,Torrey Craig,Torrey Craig,w,
2022-11-22,Lakers,Lissy,Duane Washington Jr.,Mikal Bridges,w,
2022-11-25,Pistons,Voita,Deandre Ayton,Deandre Ayton,w,
2022-11-26,Jazz,Voita,Deandre Ayton,NA,w,No Lissy (bood = DA gavin = DA)
2022-11-28,Kings,Lissy,Devin Booker,Devin Booker,w,
2022-11-30,Bulls,Lissy,Devin Booker,Devin Booker,w,Lissy gave two
2022-11-30,Bulls,Lissy,NA,Deandre Ayton,w,Lissy gave two
2022-12-2,Rocksts,Voita,Devin Booker,Devin Booker,l,
2022-12-4,Spurs,Lissy,Deandre Ayton,Dario Šarić,w,
2022-12-5,Mavericks,Lissy,Deandre Ayton,Deandre Ayton,l,
2022-12-7,Celtics,Voita,Josh Okogie,Josh Okogie,l,
2022-12-9,Pelicans,Lissy,Chris Paul,Chris Paul,l,
2022-12-11,Pelicans,Lissy,Deandre Ayton,Deandre Ayton,l,
2022-12-13,Rocksts,Voita,Josh Okogie,Josh Okogie,l,
2022-12-15,Clippers,Lissy,Mikal Bridges,Josh Okogie,w,
2022-12-17,Pelicans,Voita,Devin Booker,Devin Booker,w,